model,gain,spectral_rate,direct_eigen_rate,eta
Chain-attached,0.15,-0.8148192727027728,-0.8148192727027733,0.8100194992713261
Chain-attached,0.155,-0.8086465817928652,-0.8086465817928647,0.8100194992713261
Chain-attached,0.16,-0.8024738908829576,-0.8024738908829576,0.8100194992713261
Chain-attached,0.165,-0.79630119997305,-0.7963011999730499,0.8100194992713261
Chain-attached,0.17,-0.7901285090631425,-0.7901285090631421,0.8100194992713261
Chain-attached,0.17500000000000002,-0.7839558181532349,-0.7839558181532352,0.8100194992713261
Chain-attached,0.18,-0.7777831272433273,-0.7777831272433269,0.8100194992713261
Chain-attached,0.185,-0.7716104363334197,-0.7716104363334189,0.8100194992713261
Chain-attached,0.19,-0.7654377454235122,-0.7654377454235123,0.8100194992713261
Chain-attached,0.195,-0.7592650545136046,-0.759265054513604,0.8100194992713261
Chain-attached,0.2,-0.753092363603697,-0.7530923636036966,0.8100194992713261
Chain-attached,0.20500000000000002,-0.7469196726937894,-0.7469196726937894,0.8100194992713261
Chain-attached,0.21,-0.7407469817838819,-0.7407469817838821,0.8100194992713261
Chain-attached,0.215,-0.7345742908739743,-0.7345742908739744,0.8100194992713261
Chain-attached,0.22,-0.7284015999640667,-0.7284015999640666,0.8100194992713261
Chain-attached,0.225,-0.7222289090541592,-0.7222289090541596,0.8100194992713261
Chain-attached,0.23,-0.7160562181442516,-0.7160562181442516,0.8100194992713261
Chain-attached,0.23500000000000001,-0.709883527234344,-0.7098835272343441,0.8100194992713261
Chain-attached,0.24,-0.7037108363244364,-0.7037108363244363,0.8100194992713261
Chain-attached,0.245,-0.6975381454145289,-0.6975381454145293,0.8100194992713261
Chain-attached,0.25,-0.6913654545046213,-0.691365454504622,0.8100194992713261
Chain-attached,0.255,-0.6851927635947137,-0.6851927635947135,0.8100194992713261
Chain-attached,0.26,-0.6790200726848061,-0.6790200726848061,0.8100194992713261
Chain-attached,0.265,-0.6728473817748986,-0.6728473817748984,0.8100194992713261
Chain-attached,0.27,-0.666674690864991,-0.6666746908649899,0.8100194992713261
Chain-attached,0.275,-0.6605019999550834,-0.6605019999550832,0.8100194992713261
Chain-attached,0.28,-0.6543293090451758,-0.6543293090451756,0.8100194992713261
Chain-attached,0.28500000000000003,-0.6481566181352683,-0.6481566181352686,0.8100194992713261
Chain-attached,0.29,-0.6419839272253607,-0.6419839272253611,0.8100194992713261
Chain-attached,0.295,-0.6358112363154531,-0.6358112363154536,0.8100194992713261
Chain-attached,0.3,-0.6296385454055455,-0.6296385454055458,0.8100194992713261
Chain-attached,0.305,-0.623465854495638,-0.623465854495639,0.8100194992713261
Chain-attached,0.31,-0.6172931635857304,-0.6172931635857297,0.8100194992713261
Chain-attached,0.315,-0.6111204726758228,-0.6111204726758233,0.8100194992713261
Chain-attached,0.32,-0.6049477817659152,-0.6049477817659159,0.8100194992713261
Chain-attached,0.325,-0.5987750908560077,-0.5987750908560071,0.8100194992713261
Chain-attached,0.33,-0.5926023999461001,-0.5926023999461009,0.8100194992713261
Chain-attached,0.335,-0.5864297090361925,-0.5864297090361927,0.8100194992713261
Chain-attached,0.34,-0.5802570181262849,-0.5802570181262849,0.8100194992713261
Chain-attached,0.34500000000000003,-0.5740843272163774,-0.5740843272163765,0.8100194992713261
Chain-attached,0.35000000000000003,-0.5679116363064698,-0.5679116363064703,0.8100194992713261
Chain-attached,0.355,-0.5617389453965622,-0.5617389453965626,0.8100194992713261
Chain-attached,0.36,-0.5555662544866546,-0.5555662544866545,0.8100194992713261
Chain-attached,0.365,-0.5493935635767471,-0.5493935635767468,0.8100194992713261
Chain-attached,0.37,-0.5432208726668395,-0.5432208726668394,0.8100194992713261
Chain-attached,0.375,-0.5370481817569319,-0.5370481817569316,0.8100194992713261
Chain-attached,0.38,-0.5308754908470243,-0.5308754908470239,0.8100194992713261
Chain-attached,0.385,-0.5247027999371168,-0.5247027999371165,0.8100194992713261
Chain-attached,0.39,-0.5185301090272092,-0.5185301090272095,0.8100194992713261
Chain-attached,0.395,-0.5123574181173016,-0.5123574181173014,0.8100194992713261
Chain-attached,0.4,-0.506184727207394,-0.506184727207394,0.8100194992713261
Chain-attached,0.405,-0.5000120362974865,-0.5000120362974869,0.8100194992713261
Chain-attached,0.41000000000000003,-0.4938393453875788,-0.4938393453875789,0.8100194992713261
Chain-attached,0.41500000000000004,-0.4876666544776712,-0.4876666544776713,0.8100194992713261
Chain-attached,0.42,-0.48149396356776375,-0.48149396356776397,0.8100194992713261
Chain-attached,0.425,-0.4753212726578562,-0.4753212726578563,0.8100194992713261
Chain-attached,0.43,-0.4691485817479486,-0.4691485817479495,0.8100194992713261
Chain-attached,0.435,-0.462975890838041,-0.462975890838041,0.8100194992713261
Chain-attached,0.44,-0.45680319992813345,-0.45680319992813334,0.8100194992713261
Chain-attached,0.445,-0.4506305090182259,-0.450630509018226,0.8100194992713261
Chain-attached,0.45,-0.4444578181083183,-0.4444578181083183,0.8100194992713261
Chain-attached,0.455,-0.43828512719841073,-0.43828512719841084,0.8100194992713261
Chain-attached,0.46,-0.43211243628850315,-0.43211243628850315,0.8100194992713261
Chain-attached,0.465,-0.42593974537859547,-0.4259397453785958,0.8100194992713261
Chain-attached,0.47000000000000003,-0.4197670544686879,-0.41976705446868845,0.8100194992713261
Chain-attached,0.47500000000000003,-0.4135943635587803,-0.4135943635587809,0.8100194992713261
