network,family,is_toy,variant,projection,residual,exact_expected,analytic_error,dimension,rank,observed_closed,nonzero_spectrum_condition
network_012,Modular,False,Constant bias,Node,0.055738601068968066,False,,12,12,False,3.760388283853894
network_012,Modular,False,Constant bias,Node + order,8.546890817036389e-16,True,1.3403354745534052e-16,24,21,True,4.171398286992427
network_012,Modular,False,Constant bias,Node + order + degree,2.3053598245482615e-16,False,,168,30,True,3.0000000000000018
network_012,Modular,False,Full DMWA,Node,0.05788447314715778,False,,12,12,False,3.760388283853894
network_012,Modular,False,Full DMWA,Node + order,0.019016063412377934,False,,24,21,False,4.171398286992427
network_012,Modular,False,Full DMWA,Node + order + degree,2.3205123672263287e-16,True,6.667076035341165e-17,168,30,True,3.0000000000000018
network_013,Random,False,Coverage,Node,8.333057388024408e-16,True,1.974997107544816e-16,12,12,True,3.9854304053968974
network_013,Random,False,Coverage,Node + order,8.303055288751933e-16,False,,24,21,True,11.827020260945876
network_013,Random,False,Coverage,Node + order + degree,2.510687435076716e-16,False,,180,34,True,2.771638597533861
network_013,Random,False,Constant bias,Node,0.0849976579060516,False,,12,12,False,3.9854304053968974
network_013,Random,False,Constant bias,Node + order,8.298108830211289e-16,True,1.4699593163627882e-16,24,21,True,11.827020260945876
network_013,Random,False,Constant bias,Node + order + degree,2.4911947827135947e-16,False,,180,34,True,2.771638597533861
network_013,Random,False,Full DMWA,Node,0.09078549695887293,False,,12,12,False,3.9854304053968974
network_013,Random,False,Full DMWA,Node + order,0.03095950313577814,False,,24,21,False,11.827020260945876
network_013,Random,False,Full DMWA,Node + order + degree,2.4873459903222713e-16,True,4.440748728896298e-17,180,34,True,2.771638597533861
network_014,Core-periphery,False,Coverage,Node,1.044545055440779e-15,True,3.031750185410864e-16,12,12,True,4.254519884437552
network_014,Core-periphery,False,Coverage,Node + order,8.050437101790219e-16,False,,24,23,True,10.081200656524876
network_014,Core-periphery,False,Coverage,Node + order + degree,2.0433201787834217e-16,False,,360,47,True,2.5980762113533165
network_014,Core-periphery,False,Constant bias,Node,0.06645018535606355,False,,12,12,False,4.254519884437552
network_014,Core-periphery,False,Constant bias,Node + order,8.328943023135551e-16,True,1.8527640937412052e-16,24,23,True,10.081200656524876
network_014,Core-periphery,False,Constant bias,Node + order + degree,2.0309599749055232e-16,False,,360,47,True,2.5980762113533165
network_014,Core-periphery,False,Full DMWA,Node,0.07025225980001687,False,,12,12,False,4.254519884437552
network_014,Core-periphery,False,Full DMWA,Node + order,0.027023774480037926,False,,24,23,False,10.081200656524876
network_014,Core-periphery,False,Full DMWA,Node + order + degree,2.0248391147732388e-16,True,1.8757694862163682e-16,360,47,True,2.5980762113533165
network_015,Modular,False,Coverage,Node,1.001078824881778e-15,True,6.217116112677499e-17,12,12,True,3.43751813572475
network_015,Modular,False,Coverage,Node + order,7.836355773768882e-16,False,,24,19,True,4.11304063986844
network_015,Modular,False,Coverage,Node + order + degree,3.4573805759534955e-16,False,,168,27,True,3.0000000000000013
network_015,Modular,False,Constant bias,Node,0.09040039366885108,False,,12,12,False,3.43751813572475
network_015,Modular,False,Constant bias,Node + order,7.714306034089591e-16,True,1.0844827829213791e-16,24,19,True,4.11304063986844
network_015,Modular,False,Constant bias,Node + order + degree,3.465913830887644e-16,False,,168,27,True,3.0000000000000013
network_015,Modular,False,Full DMWA,Node,0.09295998279886024,False,,12,12,False,3.43751813572475
network_015,Modular,False,Full DMWA,Node + order,0.025425847445009052,False,,24,19,False,4.11304063986844
network_015,Modular,False,Full DMWA,Node + order + degree,3.459033944611943e-16,True,7.346464315530942e-17,168,27,True,3.0000000000000013
network_016,Random,False,Coverage,Node,9.115412536178437e-16,True,1.373876009432751e-16,12,12,True,5.062851680873643
network_016,Random,False,Coverage,Node + order,8.408838128255095e-16,False,,24,20,True,12.023695323811852
network_016,Random,False,Coverage,Node + order + degree,4.608302665395296e-16,False,,228,30,True,2.771638597533861
network_016,Random,False,Constant bias,Node,0.06899931945380439,False,,12,12,False,5.062851680873643
network_016,Random,False,Constant bias,Node + order,8.343072768570371e-16,True,1.5558376050933743e-16,24,20,True,12.023695323811852
network_016,Random,False,Constant bias,Node + order + degree,4.300112943174904e-16,False,,228,30,True,2.771638597533861
network_016,Random,False,Full DMWA,Node,0.0767681191531713,False,,12,12,False,5.062851680873643
network_016,Random,False,Full DMWA,Node + order,0.031027187254140966,False,,24,20,False,12.023695323811852
network_016,Random,False,Full DMWA,Node + order + degree,4.449033148472149e-16,True,1.0561951807503855e-16,228,30,True,2.771638597533861
network_017,Core-periphery,False,Coverage,Node,8.429728544749885e-16,True,2.917186566964682e-16,12,12,True,3.4105700790153493
network_017,Core-periphery,False,Coverage,Node + order,5.753219109954775e-16,False,,24,22,True,10.71048208585612
network_017,Core-periphery,False,Coverage,Node + order + degree,2.125657011601957e-16,False,,264,34,True,1.8371173070873834
network_017,Core-periphery,False,Constant bias,Node,0.06845762967960067,False,,12,12,False,3.4105700790153493
network_017,Core-periphery,False,Constant bias,Node + order,5.358782774868342e-16,True,2.0961760542561652e-16,24,22,True,10.71048208585612
network_017,Core-periphery,False,Constant bias,Node + order + degree,2.0280406411912026e-16,False,,264,34,True,1.8371173070873834
network_017,Core-periphery,False,Full DMWA,Node,0.0742266276911021,False,,12,12,False,3.4105700790153493
network_017,Core-periphery,False,Full DMWA,Node + order,0.0308938970082908,False,,24,22,False,10.71048208585612
network_017,Core-periphery,False,Full DMWA,Node + order + degree,2.0246522988487377e-16,True,1.9409861485499582e-16,264,34,True,1.8371173070873834
network_018,Modular,False,Coverage,Node,1.1205912152533162e-15,True,9.132302432499153e-17,12,12,True,3.4130357970303793
network_018,Modular,False,Coverage,Node + order,8.94841888176913e-16,False,,24,19,True,3.913440608126899
network_018,Modular,False,Coverage,Node + order + degree,3.294867216712779e-16,False,,132,25,True,3.175324736811502
network_018,Modular,False,Constant bias,Node,0.08398856637274474,False,,12,12,False,3.4130357970303793
network_018,Modular,False,Constant bias,Node + order,8.666653316369391e-16,True,1.3087523797999966e-16,24,19,True,3.913440608126899
network_018,Modular,False,Constant bias,Node + order + degree,3.1551878218791876e-16,False,,132,25,True,3.175324736811502
network_018,Modular,False,Full DMWA,Node,0.08484742990146152,False,,12,12,False,3.4130357970303793
network_018,Modular,False,Full DMWA,Node + order,0.019316158518165847,False,,24,19,False,3.913440608126899
network_018,Modular,False,Full DMWA,Node + order + degree,3.130835969606455e-16,True,1.531325520759133e-16,132,25,True,3.175324736811502
network_019,Random,False,Coverage,Node,5.699053604624436e-16,True,1.2705953228941316e-16,12,12,True,3.5607748348215535
network_019,Random,False,Coverage,Node + order,2.1079028071768334e-15,False,,24,17,True,6.6959270700458795
network_019,Random,False,Coverage,Node + order + degree,3.93295068703412e-16,False,,144,28,True,2.771638597533861
network_019,Random,False,Constant bias,Node,0.10497989181459383,False,,12,12,False,3.5607748348215535
network_019,Random,False,Constant bias,Node + order,1.828691657279558e-15,True,1.1231742901907692e-16,24,17,True,6.6959270700458795
network_019,Random,False,Constant bias,Node + order + degree,3.8071127059892597e-16,False,,144,28,True,2.771638597533861
network_019,Random,False,Full DMWA,Node,0.11471686989521823,False,,12,12,False,3.5607748348215535
network_019,Random,False,Full DMWA,Node + order,0.04168397556494702,False,,24,17,False,6.6959270700458795
network_019,Random,False,Full DMWA,Node + order + degree,3.7889904883474154e-16,True,3.464377170504754e-17,144,28,True,2.771638597533861
network_020,Core-periphery,False,Coverage,Node,7.052861800238056e-16,True,4.6608339755742666e-17,12,12,True,5.123934022400589
network_020,Core-periphery,False,Coverage,Node + order,1.5309504656814743e-15,False,,24,21,True,8.65269506661825
network_020,Core-periphery,False,Coverage,Node + order + degree,6.413408926093338e-16,False,,240,36,True,3.000000000000001
network_020,Core-periphery,False,Constant bias,Node,0.05178010896547869,False,,12,12,False,5.123934022400589
network_020,Core-periphery,False,Constant bias,Node + order,1.7362034185397803e-15,True,1.0026383972852198e-16,24,21,True,8.65269506661825
network_020,Core-periphery,False,Constant bias,Node + order + degree,6.507557358744608e-16,False,,240,36,True,3.000000000000001
network_020,Core-periphery,False,Full DMWA,Node,0.057368299745053634,False,,12,12,False,5.123934022400589
network_020,Core-periphery,False,Full DMWA,Node + order,0.022415598070127617,False,,24,21,False,8.65269506661825
network_020,Core-periphery,False,Full DMWA,Node + order + degree,6.484407518710173e-16,True,5.895804138893921e-17,240,36,True,3.000000000000001
network_021,Modular,False,Coverage,Node,1.1078816540849478e-15,True,1.4064687001632444e-16,12,12,True,3.606663340400038
network_021,Modular,False,Coverage,Node + order,9.23678973885517e-16,False,,24,17,True,3.721522801788434
network_021,Modular,False,Coverage,Node + order + degree,4.332925804346151e-16,False,,96,21,True,3.7835476446590435
network_021,Modular,False,Constant bias,Node,0.11408686252750967,False,,12,12,False,3.606663340400038
network_021,Modular,False,Constant bias,Node + order,8.362827111311472e-16,True,1.0581473855451129e-16,24,17,True,3.721522801788434
network_021,Modular,False,Constant bias,Node + order + degree,4.091175122139087e-16,False,,96,21,True,3.7835476446590435
network_021,Modular,False,Full DMWA,Node,0.11516004646035645,False,,12,12,False,3.606663340400038
network_021,Modular,False,Full DMWA,Node + order,0.01823987145808017,False,,24,17,False,3.721522801788434
network_021,Modular,False,Full DMWA,Node + order + degree,4.099241548451204e-16,True,7.80485461496946e-17,96,21,True,3.7835476446590435
network_022,Random,False,Coverage,Node,9.73475092718591e-16,True,8.989833621285893e-17,12,12,True,3.7057803965356833
network_022,Random,False,Coverage,Node + order,1.3536960901416483e-15,False,,24,19,True,7.639301806808894
network_022,Random,False,Coverage,Node + order + degree,4.9710219265342125e-16,False,,180,30,True,5.233675716956085
network_022,Random,False,Constant bias,Node,0.10574774869258378,False,,12,12,False,3.7057803965356833
network_022,Random,False,Constant bias,Node + order,1.6250797679180032e-15,True,1.489386554989321e-16,24,19,True,7.639301806808894
network_022,Random,False,Constant bias,Node + order + degree,4.576085023047982e-16,False,,180,30,True,5.233675716956085
network_022,Random,False,Full DMWA,Node,0.11071932866588428,False,,12,12,False,3.7057803965356833
network_022,Random,False,Full DMWA,Node + order,0.03939442750897231,False,,24,19,False,7.639301806808894
network_022,Random,False,Full DMWA,Node + order + degree,4.544804638919299e-16,True,2.1284632182690437e-17,180,30,True,5.233675716956085
network_023,Core-periphery,False,Coverage,Node,1.3601259348610962e-15,True,2.1428888700552634e-16,12,12,True,4.010842433453748
network_023,Core-periphery,False,Coverage,Node + order,1.184117732319146e-15,False,,24,20,True,15.28069549603698
network_023,Core-periphery,False,Coverage,Node + order + degree,4.636067487631812e-16,False,,192,32,True,3.4323684169061055
network_023,Core-periphery,False,Constant bias,Node,0.08090687601369607,False,,12,12,False,4.010842433453748
network_023,Core-periphery,False,Constant bias,Node + order,1.2448843239953878e-15,True,1.6496253834226985e-16,24,20,True,15.28069549603698
network_023,Core-periphery,False,Constant bias,Node + order + degree,4.4397176661421927e-16,False,,192,32,True,3.4323684169061055
network_023,Core-periphery,False,Full DMWA,Node,0.09001877012855773,False,,12,12,False,4.010842433453748
network_023,Core-periphery,False,Full DMWA,Node + order,0.03545982344732424,False,,24,20,False,15.28069549603698
network_023,Core-periphery,False,Full DMWA,Node + order + degree,4.42470718670134e-16,True,1.237635182052688e-16,192,32,True,3.4323684169061055
network_024,Modular,False,Coverage,Node,4.944822771521988e-16,True,1.4389234172368919e-16,12,12,True,5.361825392782826
network_024,Modular,False,Coverage,Node + order,6.554454825020633e-16,False,,24,17,True,4.53427636193683
network_024,Modular,False,Coverage,Node + order + degree,4.358238047940588e-16,False,,144,23,True,2.7716385975338604
network_024,Modular,False,Constant bias,Node,0.072381697872122,False,,12,12,False,5.361825392782826
