network,family,is_toy,variant,projection,relative_L2_error,max_absolute_error,negative_fraction,finite,exact_expected,context_negative_fraction,minimum_context_state,reduced_spectral_abscissa
network_018,Modular,False,Full DMWA,Node,0.006993427144293864,0.0005264230799588189,0.0,True,False,0.0,7.620223440334045e-05,-0.3653133199329214
network_018,Modular,False,Full DMWA,Node + order,0.000647787762751295,8.927001101743243e-05,0.0,True,False,0.0,0.0,2.839167360996419e-17
network_018,Modular,False,Full DMWA,Node + order + degree,2.3061001553922194e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.3629413061410732
network_019,Random,False,Coverage,Node,3.104414292441991e-16,6.938893903907228e-17,0.0,True,True,0.0,0.00010507675302536008,-0.4233178516881987
network_019,Random,False,Constant bias,Node,0.01637286640989591,0.0013296239350861702,0.0,True,False,0.0,9.966917455216905e-05,-0.38288704984333644
network_019,Random,False,Constant bias,Node + order,2.422807615827243e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.3703588444560014
network_019,Random,False,Full DMWA,Node,0.016801903909545963,0.001359183195801375,0.0,True,False,0.0,7.541273452547933e-05,-0.3836477742295344
network_019,Random,False,Full DMWA,Node + order,0.000999934443857996,0.0001312373403175443,0.0,True,False,0.0,0.0,0.0
network_019,Random,False,Full DMWA,Node + order + degree,1.9193890093979834e-16,4.163336342344337e-17,0.0,True,True,0.0,0.0,-0.3707098599999856
network_020,Core-periphery,False,Coverage,Node,2.5046542696895436e-16,5.551115123125783e-17,0.0,True,True,0.0,1.1520885478829129e-05,-0.4313433811348317
network_020,Core-periphery,False,Constant bias,Node,0.002378479727424072,0.0003205711142573245,0.0,True,False,0.0,7.154767363908895e-06,-0.4230185242913914
network_020,Core-periphery,False,Constant bias,Node + order,2.323640884380765e-16,6.938893903907228e-17,0.0,True,True,0.0,0.0,-0.42391021970983195
network_020,Core-periphery,False,Full DMWA,Node,0.0024630453642926955,0.0003009940342508788,0.0,True,False,0.0,3.7581860675048213e-06,-0.42342388396787
network_020,Core-periphery,False,Full DMWA,Node + order,0.0005571973103122078,7.289264039377422e-05,0.0,True,False,0.0,0.0,0.0
network_020,Core-periphery,False,Full DMWA,Node + order + degree,2.0682556002208038e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.4241807167756891
network_021,Modular,False,Coverage,Node,2.426306054814266e-16,4.163336342344337e-17,0.0,True,True,0.0,0.00015334324942580327,-0.45000567639441447
network_021,Modular,False,Constant bias,Node,0.01716594010423153,0.0013306938175779368,0.0,True,False,0.0,0.00012773884757148434,-0.4383749986370358
network_021,Modular,False,Constant bias,Node + order,2.2546802031971897e-16,4.163336342344337e-17,0.0,True,True,0.0,0.0,-0.42364078403486766
network_021,Modular,False,Full DMWA,Node,0.016868798824346172,0.00123413297582093,0.0,True,False,0.0,0.00011435205160906784,-0.4386877489338442
network_021,Modular,False,Full DMWA,Node + order,0.0007456345459953752,0.00010380747956179742,0.0,True,False,0.0,0.0,1.0235543957948322e-16
network_021,Modular,False,Full DMWA,Node + order + degree,2.3350958278325564e-16,3.469446951953614e-17,0.0,True,True,0.0,0.0,-0.4238883285193204
network_022,Random,False,Coverage,Node,2.648355743218884e-16,8.326672684688674e-17,0.0,True,True,0.0,0.00013477585219438966,-0.42377302846367004
network_022,Random,False,Constant bias,Node,0.013962578468016771,0.0016976126176573292,0.0,True,False,0.0,0.00011771901289702691,-0.40787244867903505
network_022,Random,False,Constant bias,Node + order,2.480296550690937e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.3965274344230474
network_022,Random,False,Full DMWA,Node,0.014089713161745024,0.0016380058141849743,0.0,True,False,0.0,9.69814144471767e-05,-0.4084102267829185
network_022,Random,False,Full DMWA,Node + order,0.0007164026967299157,0.00010119949321047567,0.0,True,False,0.0,0.0,3.304575165144117e-16
network_022,Random,False,Full DMWA,Node + order + degree,1.884195316660016e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.3970302975791765
network_023,Core-periphery,False,Coverage,Node,2.350507818494758e-16,5.551115123125783e-17,0.0,True,True,0.0,0.00013057280052270425,-0.4140727722572396
network_023,Core-periphery,False,Constant bias,Node,0.006352834290573196,0.0006089253615948198,0.0,True,False,0.0,0.00011510125798515344,-0.3885818710901332
network_023,Core-periphery,False,Constant bias,Node + order,3.0258114390303376e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.38511634032996456
network_023,Core-periphery,False,Full DMWA,Node,0.0070729750196702225,0.0006576319216698434,0.0,True,False,0.0,9.295897369970668e-05,-0.38931993521481617
network_023,Core-periphery,False,Full DMWA,Node + order,0.0010091367675732585,0.00016031734901547634,0.0,True,False,0.0,0.0,0.0
network_023,Core-periphery,False,Full DMWA,Node + order + degree,2.858366281184196e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.3853704504069967
network_024,Modular,False,Coverage,Node,2.5647927163877556e-16,6.938893903907228e-17,0.0,True,True,0.0,7.735315944496323e-05,-0.3187700074546316
network_024,Modular,False,Constant bias,Node,0.008310318001480408,0.00109175743530332,0.0,True,False,0.0,7.866547556798386e-05,-0.2758745753292099
network_024,Modular,False,Constant bias,Node + order,2.970737494802257e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.27212462797015835
network_024,Modular,False,Full DMWA,Node,0.008827569845499268,0.0011099686509789541,0.0,True,False,0.0,4.793271377078306e-05,-0.2764107979406487
network_024,Modular,False,Full DMWA,Node + order,0.00040124174939218393,5.61433464506822e-05,0.0,True,False,0.0,0.0,1.288546883994039e-16
network_024,Modular,False,Full DMWA,Node + order + degree,3.0515296693947927e-16,5.551115123125783e-17,0.0,True,True,0.0,0.0,-0.2723721616828856
network_025,Random,False,Coverage,Node,3.381169465920363e-16,8.326672684688674e-17,0.0,True,True,0.0,0.0002263414117957367,-0.4186774387427685
network_025,Random,False,Constant bias,Node,0.014851883754002503,0.001811753478585268,0.0,True,False,0.0,0.00020796639207477206,-0.40744341349294516
network_025,Random,False,Constant bias,Node + order,2.915900656472252e-16,8.326672684688674e-17,0.0,True,True,0.0,7.11693021891104e-05,-0.39534504812741306
network_025,Random,False,Full DMWA,Node,0.014674023490329688,0.0017214918416491934,0.0,True,False,0.0,0.00019032847271995294,-0.40785285051400694
network_025,Random,False,Full DMWA,Node + order,0.001499966612583913,0.00024791032294405047,0.0,True,False,0.0,6.821654185989095e-05,1.8261135623610848e-16
network_025,Random,False,Full DMWA,Node + order + degree,2.8371985261647874e-16,6.938893903907228e-17,0.0,True,True,0.0,0.0,-0.39581187655348093
network_026,Core-periphery,False,Coverage,Node,2.871659527794245e-16,5.551115123125783e-17,0.0,True,True,0.0,7.520947199434021e-05,-0.4350564152868521
network_026,Core-periphery,False,Constant bias,Node,0.00403626753011639,0.0003570560132926323,0.0,True,False,0.0,6.823593294162317e-05,-0.4296307743856169
