network,family,is_toy,variant,projection,relative_L2_error,max_absolute_error,negative_fraction,finite,exact_expected,context_negative_fraction,minimum_context_state,reduced_spectral_abscissa,context,error_percent
network_035,Core-periphery,FALSE,Full DMWA,Node + order + degree,2.774055682618143e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.3729468299267823,"Nodes +
order + degree",2.7740556826181427e-14
network_036,Modular,FALSE,Full DMWA,Node,0.00741643812972466,6.4235746309952e-4,0,TRUE,FALSE,0,2.1501094354097e-4,-0.3988771170470937,Nodes,0.741643812972466
network_036,Modular,FALSE,Full DMWA,Node + order,6.9797445193159e-4,8.10684959330274e-5,0,TRUE,FALSE,0,7.068669459782344e-5,1.2626262284535963e-16,"Nodes +
order",0.069797445193159
network_036,Modular,FALSE,Full DMWA,Node + order + degree,1.962062669048991e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.39661428733609577,"Nodes +
order + degree",1.962062669048991e-14
network_037,Random,FALSE,Full DMWA,Node,0.01299886687007912,0.00149143253040497,0,TRUE,FALSE,0,8.574069887802142e-5,-0.3798457284101808,Nodes,1.299886687007912
network_037,Random,FALSE,Full DMWA,Node + order,7.6158222176087e-4,1.0250314128802e-4,0,TRUE,FALSE,0,0,8.644547909070861e-17,"Nodes +
order",0.076158222176087
network_037,Random,FALSE,Full DMWA,Node + order + degree,2.4115403861902493e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.3703326987522147,"Nodes +
order + degree",2.4115403861902493e-14
network_038,Core-periphery,FALSE,Full DMWA,Node,0.00584908798403945,4.7865696901247e-4,0,TRUE,FALSE,0,6.717509828786283e-5,-0.4187112052335069,Nodes,0.5849087984039449
network_038,Core-periphery,FALSE,Full DMWA,Node + order,4.2826687490598e-4,5.1688570062782824e-5,0,TRUE,FALSE,0,0,2.621600853069949e-16,"Nodes +
order",0.042826687490597995
network_038,Core-periphery,FALSE,Full DMWA,Node + order + degree,1.82237147189044e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.4151810184958266,"Nodes +
order + degree",1.82237147189044e-14
network_039,Modular,FALSE,Full DMWA,Node,0.01309513374476677,0.00135877443551782,0,TRUE,FALSE,0,1.0074594266562e-4,-0.4233414622267204,Nodes,1.309513374476677
network_039,Modular,FALSE,Full DMWA,Node + order,7.1408817003573e-4,8.04383881342352e-5,0,TRUE,FALSE,0,0,1.4743576740434875e-16,"Nodes +
order",0.07140881700357299
network_039,Modular,FALSE,Full DMWA,Node + order + degree,2.1574193274240254e-16,4.163336342344337e-17,0,TRUE,TRUE,0,0,-0.4126634046168076,"Nodes +
order + degree",2.1574193274240254e-14
network_040,Random,FALSE,Full DMWA,Node,0.00484727245185346,6.9020180760216e-4,0,TRUE,FALSE,0,7.103597912043386e-6,-0.349489926162838,Nodes,0.484727245185346
network_040,Random,FALSE,Full DMWA,Node + order,0.00119859068472054,2.2975091398273e-4,0,TRUE,FALSE,0,0,0,"Nodes +
order",0.119859068472054
network_040,Random,FALSE,Full DMWA,Node + order + degree,3.3024185010411404e-16,8.326672684688674e-17,0,TRUE,TRUE,0,0,-0.3512384366839504,"Nodes +
order + degree",3.3024185010411404e-14
network_041,Core-periphery,FALSE,Full DMWA,Node,0.00448085553487883,7.656102109886e-4,0,TRUE,FALSE,0,3.7130546681666393e-6,-0.326504374773821,Nodes,0.44808555348788304
network_041,Core-periphery,FALSE,Full DMWA,Node + order,0.00100285672848964,2.1366413664192e-4,0,TRUE,FALSE,0,0,0,"Nodes +
order",0.100285672848964
network_041,Core-periphery,FALSE,Full DMWA,Node + order + degree,2.7621997651541017e-16,5.551115123125783e-17,0,TRUE,TRUE,0,0,-0.32522900229533036,"Nodes +
order + degree",2.7621997651541016e-14
