network,variant,R,rho,eta,g,decay,spectral_abscissa,stable
network_067,Constant bias,2.8866666666666663,3.462053998359691,0.8338017454477483,0.5,1.0,-0.4003370672587134,True
network_067,Full DMWA,2.8866666666666663,3.457840501984485,0.8348177612616843,0.5,1.0,-0.4010668876470312,True
network_068,Coverage,5.946078431372548,6.769436899904499,0.8783712027002473,0.5,1.0,-0.43076458055213623,True
network_068,Constant bias,4.382352941176471,5.262226942733827,0.8327943642240095,0.5,1.0,-0.39961169109748523,True
network_068,Full DMWA,4.382352941176471,5.260057933705333,0.8331377708019687,0.5,1.0,-0.39985916192623705,True
network_069,Coverage,4.678571428571429,5.73340885807437,0.816019150977274,0.5,1.0,-0.38726928234319646,True
network_069,Constant bias,3.4107142857142856,4.504328940397814,0.7572080837890711,0.5,1.0,-0.33967952706210014,True
network_069,Full DMWA,3.4107142857142856,4.503310830565888,0.7573792736144962,0.5,1.0,-0.33982877876521134,True
network_070,Coverage,4.428571428571429,4.752592438738457,0.9318222603045176,0.5,1.0,-0.46341698272307735,True
network_070,Constant bias,3.017857142857143,3.53010971052494,0.8548904680949353,0.5,1.0,-0.4151297521023763,True
network_070,Full DMWA,3.017857142857143,3.526959350130996,0.8556540757253286,0.5,1.0,-0.4156517053037444,True
network_071,Coverage,4.955128205128204,6.244448328919535,0.793525375521136,0.5,1.0,-0.36990042735352735,True
network_071,Constant bias,3.5833333333333335,4.851162627974068,0.738654546988419,0.5,1.0,-0.3230935867943152,True
network_071,Full DMWA,3.583333333333333,4.847316967826375,0.7392405648562662,0.5,1.0,-0.32363019053585523,True
network_072,Coverage,5.559139784946236,6.062618597881694,0.9169535729805969,0.5,1.0,-0.4547161222408146,True
network_072,Constant bias,4.17741935483871,4.714032725806291,0.8861668125403609,0.5,1.0,-0.43577214478766657,True
network_072,Full DMWA,4.17741935483871,4.710559591501294,0.8868201906150458,0.5,1.0,-0.43618784812146805,True
network_073,Coverage,4.467948717948717,5.427296175900703,0.8232365754771482,0.5,1.0,-0.3926411740025033,True
network_073,Constant bias,3.3397435897435903,4.24576080948139,0.7866066270821159,0.5,1.0,-0.3643582665267783,True
network_073,Full DMWA,3.3397435897435894,4.243014992425952,0.7871156702734357,0.5,1.0,-0.36476934854275694,True
network_074,Coverage,5.821428571428571,7.208843770257915,0.8075398436912297,0.5,1.0,-0.38083550439502606,True
network_074,Constant bias,4.369047619047619,5.627640127536628,0.7763551897480819,0.5,1.0,-0.3559648900366801,True
network_074,Full DMWA,4.369047619047619,5.623617995444915,0.7769104556153195,0.5,1.0,-0.35642518853218874,True
network_075,Coverage,4.266666666666667,5.437082772960712,0.7847345432895247,0.5,1.0,-0.3628418625436686,True
