network,family,is_toy,variant,total_fraction,spatial_TV_mean,spatial_TV_t1,spatial_TV_t10,spatial_TV_max,total_ratio_t1,total_ratio_t10
network_015,Modular,False,Coverage,1.6387732664483132e-16,1.3994014280704903e-16,1.7867651802561113e-16,8.847089727481716e-17,2.636779683484747e-16,0.9999999999999997,0.9999999999999997
network_015,Modular,False,Constant bias,0.005903920847912411,0.0041930965874826896,0.004452045602932367,0.0023255615838525066,0.0058821036154543815,0.9951555229361332,0.9913039490483845
network_015,Modular,False,Full DMWA,0.006826844838031087,0.00487273334067798,0.005399495886285202,0.002561445833960022,0.007087217484252187,0.9945910915529342,0.9889996883821786
network_016,Random,False,Coverage,7.875147425453647e-17,7.485657059491669e-17,6.938893903907228e-17,4.141652298894627e-17,1.717376241217039e-16,1.0,1.0
network_016,Random,False,Constant bias,0.0007471872062809818,0.0003548337562756049,0.0006683915793640593,3.588096317351129e-05,0.0007741717430649461,0.9993163872480483,0.9990216479160652
network_016,Random,False,Full DMWA,0.0006199152875700704,0.0005989502331854764,0.0009845698951100653,0.00012227431342745805,0.001183033490999433,0.999224859801025,0.9998886987113778
network_017,Core-periphery,False,Coverage,1.4608296477604417e-16,8.60292739823798e-17,9.71445146547012e-17,8.239936510889834e-17,1.986258379993444e-16,0.9999999999999998,0.9999999999999999
network_017,Core-periphery,False,Constant bias,0.00015643606858399816,0.0009510051293264229,0.0016200113512402116,0.0001460220170143101,0.001925798569546569,1.000029928216782,0.9994962387522232
network_017,Core-periphery,False,Full DMWA,0.00032031848135517023,0.0009348509092149936,0.0016135120312066459,0.0001469291035084636,0.0019132046919293818,1.0002984467099336,1.0005791119869223
network_018,Modular,False,Coverage,1.0494052439424686e-16,7.959344988650584e-17,9.020562075079397e-17,5.984795992119984e-17,2.0469737016526324e-16,1.0,0.9999999999999999
network_018,Modular,False,Constant bias,0.0015637406776563183,0.0016575302143801765,0.0020012924601743136,0.0008360656965910444,0.0025468470944077625,1.001398956380316,1.0029718570510067
network_018,Modular,False,Full DMWA,0.0023943507039473322,0.0011641739914196175,0.0018265319365221473,0.00036684503567108173,0.002155837194924612,1.0022586962870315,1.0033217913048234
network_019,Random,False,Coverage,8.943545266309671e-17,7.04644675941779e-17,5.551115123125783e-17,6.418476861114186e-17,1.465841337200402e-16,1.0,1.0
network_019,Random,False,Constant bias,0.0013526394019694,0.002058713609481513,0.002675203427453768,0.0006914749875202002,0.0034281346253257974,0.9983009371228595,1.0001042208512199
network_019,Random,False,Full DMWA,0.0007907638301275651,0.0020959964260113236,0.00289602902834705,0.0006496042179798636,0.003628348246786768,0.9988898252651593,1.0016114255810145
network_020,Core-periphery,False,Coverage,9.789800785714892e-17,7.285188077799098e-17,6.418476861114186e-17,3.924811864397526e-17,1.7954387976359953e-16,1.0,1.0
network_020,Core-periphery,False,Constant bias,0.0008177642171513551,0.0007019041532996691,0.0011389220614910316,0.00014041682642202844,0.0013623519680414668,1.0004247426606185,1.0022647290019684
network_020,Core-periphery,False,Full DMWA,0.00020880343063350154,0.0008471211943366254,0.0014228674587891555,0.000160463489172669,0.0016868215020462993,0.9997639762510175,1.0008049636896152
network_021,Modular,False,Coverage,2.5682101790748587e-16,1.6528445279107018e-16,2.8449465006019636e-16,6.245004513516506e-17,3.677613769070831e-16,0.9999999999999998,0.9999999999999998
network_021,Modular,False,Constant bias,0.006243768311828863,0.010278424957453073,0.007774492174413696,0.009746176312396996,0.011956072402344184,1.0050218246455318,1.0120917752588336
network_021,Modular,False,Full DMWA,0.0054708390981735204,0.009777249969239512,0.007446396382210965,0.009231318487881016,0.011386156381266036,1.0043386822631737,1.0109192996720868
network_022,Random,False,Coverage,1.1814983083560342e-16,1.1891529427821012e-16,1.7520707107365752e-16,7.632783294297951e-17,2.5673907444456745e-16,1.0000000000000002,1.0000000000000002
network_022,Random,False,Constant bias,0.008085692439171836,0.0020632021381888016,0.0027396235394165566,0.0005511883970830446,0.0036214794667259465,0.9925590558259946,0.9900906382224173
network_022,Random,False,Full DMWA,0.008787442185807282,0.0025032363367977926,0.0033552784733955673,0.0006527453144182386,0.004419984280165325,0.9917821432280844,0.989709088050489
network_023,Core-periphery,False,Coverage,4.097406968565088e-16,3.507697604598903e-16,8.291978215169138e-16,8.153200337090993e-17,1.0651202142497596e-15,0.9999999999999997,0.9999999999999996
network_023,Core-periphery,False,Constant bias,0.0021234787733561194,0.0012674777942397173,0.0019955633104091295,0.0002686555419410012,0.0024010717416823608,0.9979401775834381,0.9972857231276825
network_023,Core-periphery,False,Full DMWA,0.002642404336885872,0.0015677617214673967,0.002511294534832089,0.00032644412734135443,0.003009008844012213,0.9974719695448989,0.9963248572803919
network_024,Modular,False,Coverage,2.3400928197586273e-16,8.257066905215105e-17,1.491862189340054e-16,7.24247051220317e-17,1.942890293094024e-16,1.0,1.0000000000000004
